	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
STT3A	1659.51561933259	1.27351670263795	0.159767204190559	7.97107709989708	1.57297333464803e-15	1.05276858183229e-13
RNA5SP199	836.34075026599	1.66491587647642	0.210214003272801	7.92009975812987	2.3732009954061e-15	1.57708463311739e-13
RNU5F-1	1548.30416807723	1.27642096545535	0.162789325919776	7.84093771654527	4.47194224382043e-15	2.95085202990122e-13
FAT1	2658.72996763062	1.12351946010893	0.143353558170851	7.83740197623769	4.59963758640147e-15	3.01388840451621e-13
HSPA5	2170.99856708292	1.17495052537893	0.150264281960263	7.81922696499251	5.31487070066187e-15	3.45835683786123e-13
ACTN4	1688.01458281261	1.26445840472239	0.161853013742083	7.81238714984531	5.61148804132499e-15	3.62618227222174e-13
IGFBP2	1094.15732921377	1.42591363353536	0.183113681708812	7.78704037966347	6.85970343959831e-15	4.40242611157782e-13
CLTC	3149.40655344394	1.03829279316045	0.135896096206916	7.64034304252228	2.16643749076916e-14	1.38091967949028e-12
EEF1A1	2761.20520851606	1.07012931854305	0.140092832918513	7.63871567338143	2.19399201002291e-14	1.38903413066991e-12
PRPF8	859.399342308682	1.48556141931715	0.199864684950451	7.43283596942321	1.06293683040459e-13	6.59583980191459e-12
SCARNA1	317.256925222391	2.27154800448835	0.308742045739755	7.35743004826457	1.87484595827373e-13	1.15574385717269e-11
GCN1	1407.10096637847	1.25438200415568	0.170534653419341	7.35558421121122	1.90093868704062e-13	1.16416964036409e-11
RPN1	1048.97749436025	1.36254525459766	0.185645841888218	7.33948706170366	2.14413989018674e-13	1.29616714651934e-11
HYOU1	523.391241895982	1.80376845121474	0.2457491880543	7.33987552714184	2.13792589919357e-13	1.29616714651934e-11
PKM	4957.24931305967	0.916350102222208	0.125321627044214	7.31198695576236	2.63220669556088e-13	1.58101132932086e-11
RPS19	2023.84473775549	1.10892324624299	0.151936539390202	7.29859486528822	2.90788449214252e-13	1.73546991664812e-11
RACK1	2263.97292299237	1.07823706055563	0.147814002523707	7.29455289855032	2.99652479147553e-13	1.77705299342568e-11
RN7SL1	2782.49805670828	1.10978072200214	0.153055162952088	7.25085453242461	4.14150299356845e-13	2.44062157545512e-11
SNORA50A	166.461957925436	3.34348176855617	0.462505231336088	7.22906800188508	4.86319888649438e-13	2.84801084790327e-11
SLC7A5	6090.24860035612	0.880352112309968	0.121795083997621	7.2281415917178	4.89648082417104e-13	2.8496910138188e-11
VIM	2115.06948458972	1.07707015747584	0.149358465843876	7.21130972650524	5.54162435045212e-13	3.20524815825533e-11
TUBB4B	1142.69849744185	1.30251594426312	0.180664298702895	7.20959234123576	5.61196304084894e-13	3.2260180179604e-11
SNORA22C	106.916923966022	4.92993673833615	0.686812716503374	7.17799280629937	7.07422816648854e-13	4.04179987317058e-11
SNORA11B	229.064565801665	2.66079203507926	0.371477189615397	7.16273329685214	7.90841188442371e-13	4.49101935497273e-11
SNRNP200	1947.47765562754	1.09440255545813	0.152991353915846	7.15336211783653	8.46778353506212e-13	4.77970673033326e-11
SNORD90	179.627522456004	2.99865754855068	0.41989683197815	7.14141503384031	9.23749691171833e-13	5.18295485405993e-11
NELL2	1486.51766436839	1.18779167196018	0.166796464985467	7.12120410983334	1.06988212516699e-12	5.9671401861992e-11
LGALS1	788.146940703245	1.45968787584845	0.205152475632105	7.11513654100901	1.11802097609942e-12	6.1987316840542e-11
PIEZO1	2053.81453760319	1.07427407842137	0.151350151537254	7.09793857165014	1.2663144196861e-12	6.93881059208113e-11
KRT18	1952.5727777885	1.09384228875692	0.154234215464346	7.09208579603259	1.32105565402014e-12	7.19668109195855e-11
SNORD93	876.795395644105	3.30499592593886	0.46898519256235	7.04712212315631	1.82656004459786e-12	9.89298706235952e-11
RPS5	1096.91456195732	1.28652605032215	0.183412313468619	7.0143930142524	2.30949367394758e-12	1.24367561637292e-10
PLXNB2	1293.03276538659	1.21208345462276	0.172869848629403	7.01153766392897	2.35713017271116e-12	1.26207484104592e-10
TUBA1B	2057.61712875364	1.0584078436427	0.150975877640214	7.0104433912612	2.37564048483791e-12	1.26475859903018e-10
QSOX1	888.787739403211	1.37391143717626	0.196783390850862	6.98184654322541	2.91325252505192e-12	1.54221334235799e-10
SNORA14A	141.361075617602	3.42610386406885	0.491715629035615	6.96765297208134	3.22271960307911e-12	1.69645408319389e-10
DHCR24	1677.96657395266	1.15670272719845	0.1663922770054	6.95166114687471	3.61009709769317e-12	1.88671643057789e-10
CST3	1386.2946318603	1.17107431213301	0.168647723679131	6.94390820454298	3.81398383479307e-12	1.97442146585696e-10
P4HA2	722.152718652173	1.47296135722584	0.213261299474623	6.90683851619837	4.95573500182406e-12	2.53744464301046e-10
CALR	2818.98238433841	0.960966003354618	0.139265677350641	6.90023573385646	5.19163152026497e-12	2.64378192091754e-10
CLU	849.777978226906	1.37697828429806	0.200041440298583	6.8834651572333	5.84138905633165e-12	2.95858461934203e-10
